Hotel_ID,Hotel_Name,Location,Brand,Rating,Number_of_Rooms,Amenities,Price_Per_Night,Customer_Satisfaction_Score,Year_Built,Last_Renovated,Distance_to_Airport,Pet_Friendly,Business_Center_Available,WiFi_Included,Restaurant_Available
38,Hotel 38,Indianapolis,The Luxury Collection,1.4,184,"Pool, Gym, Free WiFi",269.81,1,2004,1992,7.92,False,False,True,False
39,Hotel 39,Phoenix,Moxy Hotels,3.7,63,"Spa, Free Breakfast",134.82,5,2015,2020,38.41,True,True,True,False
40,Hotel 40,Milwaukee,Marriott Executive Apartments,2.8,128,"Restaurant, Pool",426.3,8,1987,2021,6.33,True,True,False,True
41,Hotel 41,Albuquerque,Marriott Executive Apartments,1.5,166,"Gym, Free Parking",249.4,8,1988,2016,49.08,True,True,False,False
42,Hotel 42,Houston,TownePlace Suites,3.0,56,"Restaurant, Pool",310.6,5,2016,1995,19.7,True,True,False,False
43,Hotel 43,Detroit,Westin,1.1,186,"Restaurant, Pool",144.92,9,2018,2001,38.99,False,True,True,True
44,Hotel 44,Washington D.C.,Courtyard by Marriott,4.6,164,"Pool, Gym, Free WiFi",101.03,1,2011,1999,17.79,True,False,True,True
45,Hotel 45,San Francisco,Moxy Hotels,2.0,225,"Gym, Free Parking",355.19,4,1996,2022,31.76,False,False,True,True
46,Hotel 46,San Diego,The Ritz-Carlton,3.7,121,"Restaurant, Pool",306.07,3,2014,2006,10.41,False,False,False,True
47,Hotel 47,Nashville,Tribute Portfolio,2.2,291,"Pool, Gym, Free WiFi",337.42,2,2016,2020,8.16,True,True,False,True
48,Hotel 48,San Jose,Sheraton,3.1,108,"Business Center, Free WiFi",417.5,8,1998,1995,46.97,False,True,False,True
49,Hotel 49,Charlotte,Le Méridien,3.2,264,"Pool, Gym, Free WiFi",358.64,7,2008,2013,45.96,True,False,False,False
50,Hotel 50,Mesa,Moxy Hotels,1.7,270,"Business Center, Free WiFi",169.91,9,1986,2011,44.49,False,False,True,True
51,Hotel 51,San Antonio,Marriott Vacation Club,4.9,131,"Restaurant, Pool",244.31,2,2007,2005,31.65,False,True,False,False
52,Hotel 52,Baltimore,Courtyard by Marriott,4.1,272,"Restaurant, Pool",462.36,4,1988,2004,40.61,True,False,True,False
53,Hotel 53,Boston,Courtyard by Marriott,4.8,271,"Restaurant, Pool",407.98,6,2007,1981,4.38,False,False,True,True
54,Hotel 54,Las Vegas,Autograph Collection Hotels,4.6,165,"Restaurant, Pool",322.65,3,1985,1991,17.4,False,True,False,False
55,Hotel 55,Nashville,Premium,3.4,216,"Pool, Gym, Free WiFi",202.26,8,2008,2019,16.37,True,False,True,True
56,Hotel 56,Atlanta,Residence Inn,4.7,276,"Pool, Gym, Free WiFi",220.82,3,1996,1988,32.15,False,False,True,False
57,Hotel 57,Boston,Le Méridien,1.4,195,"Pool, Gym, Free WiFi",392.78,2,1995,1991,18.44,False,False,True,True
58,Hotel 58,Mesa,Courtyard by Marriott,1.8,236,"Business Center, Free WiFi",440.47,3,2002,2005,8.28,True,True,True,True
59,Hotel 59,Columbus,Longer Stays,1.2,283,"Gym, Free Parking",368.57,6,2010,1988,30.23,True,False,False,True
60,Hotel 60,Tucson,Element by Westin,2.3,152,"Restaurant, Pool",423.81,2,1982,1989,40.9,False,False,False,True
61,Hotel 61,Albuquerque,St. Regis,2.6,66,"Pool, Gym, Free WiFi",406.66,8,2000,2011,19.72,False,False,True,False
62,Hotel 62,Atlanta,TownePlace Suites,2.1,63,"Pool, Gym, Free WiFi",159.88,1,2005,2013,7.48,False,True,False,False
63,Hotel 63,Long Beach,Tribute Portfolio,4.3,208,"Spa, Free Breakfast",269.58,7,2015,1999,10.64,True,True,True,False
64,Hotel 64,Mesa,Premium,2.4,201,"Gym, Free Parking",161.19,2,2021,2018,12.64,False,False,False,False
65,Hotel 65,Detroit,Marriott Vacation Club,2.1,276,"Pool, Gym, Free WiFi",194.09,10,2016,1981,15.69,False,True,False,False
66,Hotel 66,Philadelphia,Westin,3.2,157,"Gym, Free Parking",447.7,6,2001,1980,32.5,False,False,False,True
67,Hotel 67,Charlotte,Westin,1.6,237,"Pool, Gym, Free WiFi",289.16,2,2021,2015,30.45,False,True,False,True
68,Hotel 68,Fresno,The Luxury Collection,4.2,94,"Pool, Gym, Free WiFi",314.14,2,1991,2003,35.11,False,True,False,True
69,Hotel 69,New York,Element by Westin,1.3,147,"Pool, Gym, Free WiFi",171.38,10,2021,2006,18.76,False,False,True,True
70,Hotel 70,Baltimore,Element by Westin,4.9,180,"Restaurant, Pool",224.91,8,1992,1981,41.38,True,False,False,True
71,Hotel 71,Chicago,Marriott Vacation Club,4.1,86,"Restaurant, Pool",192.1,2,1990,2010,11.0,True,False,True,False
72,Hotel 72,Milwaukee,Marriott Vacation Club,1.8,220,"Business Center, Free WiFi",182.47,7,1995,1993,23.98,False,True,True,True
73,Hotel 73,Atlanta,Select,1.0,217,"Business Center, Free WiFi",355.18,3,1987,1981,40.25,False,False,False,True
74,Hotel 74,San Jose,St. Regis,4.3,267,"Gym, Free Parking",202.75,8,2019,2008,9.83,True,True,True,False
75,Hotel 75,Oklahoma City,Autograph Collection Hotels,3.8,232,"Business Center, Free WiFi",352.81,7,2019,1994,6.38,True,True,False,False
76,Hotel 76,Nashville,Boutique,3.9,264,"Spa, Free Breakfast",123.38,8,1981,1991,44.3,True,False,True,True
77,Hotel 77,New York,Design Hotels,4.1,157,"Business Center, Free WiFi",156.71,7,2009,2016,17.8,False,True,True,True
78,Hotel 78,Nashville,AC Hotels,1.3,88,"Spa, Free Breakfast",209.82,6,2009,2007,34.51,False,False,False,False
79,Hotel 79,Mesa,Courtyard by Marriott,2.4,64,"Spa, Free Breakfast",338.82,7,1991,1999,2.24,False,True,False,True
80,Hotel 80,Detroit,Premium,1.5,169,"Business Center, Free WiFi",370.34,5,1989,2018,34.81,False,False,False,True
81,Hotel 81,Baltimore,Marriott Executive Apartments,4.5,290,"Restaurant, Pool",277.09,7,1990,2003,16.49,True,True,False,True
82,Hotel 82,San Diego,Longer Stays,3.5,53,"Pool, Gym, Free WiFi",278.32,1,1994,2000,3.73,True,True,True,False
83,Hotel 83,Washington D.C.,JW Marriott,2.3,142,"Gym, Free Parking",389.81,1,1995,1989,30.88,True,False,False,True
84,Hotel 84,Memphis,Autograph Collection Hotels,1.3,263,"Restaurant, Pool",106.33,9,1996,1993,12.8,True,True,True,True
85,Hotel 85,Louisville,JW Marriott,2.2,202,"Pool, Gym, Free WiFi",236.44,5,2005,2016,19.95,False,False,True,False
86,Hotel 86,Indianapolis,Element by Westin,2.3,190,"Gym, Free Parking",427.48,5,1981,1997,4.95,False,True,True,False
87,Hotel 87,Louisville,Premium,3.9,259,"Business Center, Free WiFi",341.29,3,1991,2003,8.21,True,True,True,False
88,Hotel 88,Fresno,Fairfield by Marriott,3.6,210,"Restaurant, Pool",234.89,5,2005,1993,15.6,True,True,True,True
89,Hotel 89,San Francisco,Residence Inn,4.5,65,"Business Center, Free WiFi",462.21,3,2002,2013,5.4,True,False,True,False
90,Hotel 90,Austin,Sheraton,2.9,286,"Business Center, Free WiFi",409.05,9,1997,1991,45.63,True,False,False,True
91,Hotel 91,Los Angeles,TownePlace Suites,1.5,219,"Restaurant, Pool",205.96,9,2011,2001,1.3,True,False,True,False
92,Hotel 92,Columbus,Courtyard by Marriott,3.9,157,"Gym, Free Parking",358.12,6,2017,1985,24.71,False,False,True,True
93,Hotel 93,Albuquerque,Premium,4.0,175,"Restaurant, Pool",338.3,1,1982,2015,7.04,False,False,True,False
94,Hotel 94,Oklahoma City,The Ritz-Carlton,3.2,243,"Spa, Free Breakfast",260.48,7,2017,2015,16.08,True,True,False,True
95,Hotel 95,Dallas,Premium,4.1,104,"Gym, Free Parking",246.78,7,1982,2001,46.38,True,True,False,True
96,Hotel 96,Seattle,Marriott Hotels,3.0,276,"Restaurant, Pool",237.42,10,2009,1993,8.92,True,False,True,False
97,Hotel 97,Long Beach,TownePlace Suites,3.1,219,"Spa, Free Breakfast",346.86,10,1980,1995,48.33,False,True,False,False
98,Hotel 98,Las Vegas,Residence Inn,2.7,83,"Business Center, Free WiFi",276.96,4,2009,2015,11.08,False,True,True,True
99,Hotel 99,Kansas City,Tribute Portfolio,1.1,207,"Gym, Free Parking",432.75,8,2011,2004,37.34,False,True,False,False
100,Hotel 100,Philadelphia,Gaylord Hotels,1.4,296,"Gym, Free Parking",367.84,6,2007,2011,27.79,True,True,True,True
101,Hotel 101,Fresno,Luxury,1.1,62,"Pool, Gym, Free WiFi",127.97,4,2000,2012,44.34,False,False,False,False
102,Hotel 102,Fresno,Moxy Hotels,3.5,190,"Pool, Gym, Free WiFi",356.07,4,1992,2015,28.15,True,True,False,False
103,Hotel 103,Sacramento,Sheraton,2.3,67,"Pool, Gym, Free WiFi",208.46,2,2006,1999,27.19,False,False,False,True
104,Hotel 104,Chicago,Marriott Hotels,3.0,209,"Restaurant, Pool",337.12,2,2015,1997,10.58,False,False,True,False
105,Hotel 105,Nashville,The Ritz-Carlton,4.6,145,"Pool, Gym, Free WiFi",372.05,4,1986,2017,9.15,False,True,True,False
106,Hotel 106,Detroit,Boutique,2.0,276,"Spa, Free Breakfast",192.33,5,2001,1982,45.91,True,False,True,True
107,Hotel 107,Atlanta,The Ritz-Carlton,2.6,172,"Business Center, Free WiFi",282.74,8,1989,2002,17.06,True,True,False,True
108,Hotel 108,Washington D.C.,St. Regis,4.0,88,"Restaurant, Pool",176.13,6,2018,2011,19.23,False,True,False,False
109,Hotel 109,Boston,Element by Westin,1.9,95,"Pool, Gym, Free WiFi",120.94,4,1994,1995,38.23,True,True,True,True
110,Hotel 110,New York,Element by Westin,1.3,293,"Restaurant, Pool",251.39,7,1994,1984,17.6,True,False,False,False
111,Hotel 111,Albuquerque,Luxury,2.2,78,"Pool, Gym, Free WiFi",245.18,8,1983,1983,47.65,True,False,True,False
112,Hotel 112,Washington D.C.,Premium,1.6,239,"Spa, Free Breakfast",498.19,2,2011,2000,37.16,True,False,True,True
113,Hotel 113,Milwaukee,Le Méridien,4.7,290,"Restaurant, Pool",278.54,7,2002,2019,30.27,True,True,True,True
114,Hotel 114,Columbus,Premium,4.2,270,"Spa, Free Breakfast",233.43,2,1985,1993,44.16,True,True,True,True
115,Hotel 115,Fresno,Moxy Hotels,3.5,111,"Pool, Gym, Free WiFi",332.19,2,2003,2018,3.43,True,True,False,True
116,Hotel 116,El Paso,Longer Stays,4.5,294,"Spa, Free Breakfast",135.51,8,1999,2010,13.6,False,False,False,True
117,Hotel 117,Albuquerque,Premium,4.2,285,"Pool, Gym, Free WiFi",484.67,2,2016,1993,23.79,True,True,False,True
118,Hotel 118,Jacksonville,Select,1.7,234,"Spa, Free Breakfast",353.98,9,1999,1985,12.12,True,True,True,False
119,Hotel 119,Boston,Marriott Vacation Club,4.6,65,"Spa, Free Breakfast",401.94,1,1991,1991,37.45,False,False,False,False
120,Hotel 120,Fresno,Residence Inn,3.2,233,"Gym, Free Parking",168.19,9,2012,1995,46.04,False,False,True,True
121,Hotel 121,Mesa,St. Regis,4.2,285,"Restaurant, Pool",263.79,1,2007,1996,21.76,False,False,True,False
122,Hotel 122,Los Angeles,The Ritz-Carlton,4.6,288,"Gym, Free Parking",269.08,10,1987,2002,17.76,False,True,True,False
123,Hotel 123,Houston,Residence Inn,2.3,170,"Pool, Gym, Free WiFi",428.72,10,1980,1993,48.12,True,True,True,False
124,Hotel 124,Tucson,St. Regis,1.4,59,"Pool, Gym, Free WiFi",100.49,2,2016,1986,22.8,False,True,True,False
125,Hotel 125,San Jose,Le Méridien,1.9,207,"Restaurant, Pool",220.34,6,2001,2011,24.96,False,False,True,True
126,Hotel 126,Virginia Beach,Marriott Executive Apartments,2.7,202,"Business Center, Free WiFi",492.49,6,1985,1994,18.23,True,False,False,False
127,Hotel 127,Mesa,The Luxury Collection,4.3,152,"Pool, Gym, Free WiFi",289.95,1,2000,1996,45.57,True,False,False,False
128,Hotel 128,Chicago,Tribute Portfolio,4.4,133,"Pool, Gym, Free WiFi",253.01,7,2011,2020,28.88,True,False,False,True
129,Hotel 129,Oklahoma City,Le Méridien,1.0,182,"Spa, Free Breakfast",147.93,8,2014,2013,38.35,False,True,False,True
130,Hotel 130,Denver,SpringHill Suites,3.0,114,"Pool, Gym, Free WiFi",489.67,2,1994,1984,40.78,True,True,True,True
131,Hotel 131,Tucson,Marriott Hotels,2.7,271,"Spa, Free Breakfast",108.01,8,1984,2006,17.75,False,True,True,True
132,Hotel 132,Virginia Beach,JW Marriott,1.9,226,"Business Center, Free WiFi",394.87,9,1985,2002,22.25,True,True,False,False
133,Hotel 133,Louisville,Tribute Portfolio,1.5,52,"Spa, Free Breakfast",407.44,6,2004,2019,42.58,True,True,False,True
134,Hotel 134,Las Vegas,Residence Inn,2.4,222,"Restaurant, Pool",197.46,5,2019,1993,18.8,False,True,False,False
135,Hotel 135,Oklahoma City,Premium,4.8,191,"Business Center, Free WiFi",368.62,9,2008,1994,39.9,True,True,False,False
136,Hotel 136,Portland,Select,2.3,169,"Business Center, Free WiFi",137.17,9,1986,2022,47.11,True,True,False,True
137,Hotel 137,Albuquerque,Select,3.1,207,"Spa, Free Breakfast",202.82,1,2019,2012,31.54,True,False,False,True
138,Hotel 138,Long Beach,Marriott Hotels,3.8,291,"Gym, Free Parking",415.16,3,1992,2010,37.34,True,False,False,True
139,Hotel 139,Phoenix,Design Hotels,2.5,117,"Pool, Gym, Free WiFi",445.87,9,2017,2014,40.45,True,True,False,True
140,Hotel 140,Boston,Tribute Portfolio,4.9,195,"Pool, Gym, Free WiFi",343.39,2,1997,1996,42.41,False,False,True,True
141,Hotel 141,Detroit,Residence Inn,4.8,239,"Spa, Free Breakfast",302.74,4,1981,2007,20.36,False,True,True,True
142,Hotel 142,San Jose,The Ritz-Carlton,2.0,86,"Gym, Free Parking",163.72,4,1987,1998,3.51,True,True,True,False
143,Hotel 143,Charlotte,Westin,3.0,202,"Spa, Free Breakfast",125.24,2,1990,2002,20.69,False,False,True,False
144,Hotel 144,Philadelphia,The Luxury Collection,2.2,225,"Gym, Free Parking",147.06,3,2012,2011,34.01,False,True,False,False
145,Hotel 145,San Diego,The Luxury Collection,2.1,242,"Restaurant, Pool",190.94,3,2017,2019,23.07,False,True,True,False
146,Hotel 146,Baltimore,Element by Westin,1.1,230,"Gym, Free Parking",236.67,1,2006,1992,37.7,True,True,False,True
147,Hotel 147,Dallas,JW Marriott,3.4,287,"Business Center, Free WiFi",252.36,6,1999,1999,18.49,True,True,True,True
148,Hotel 148,Philadelphia,Tribute Portfolio,3.0,256,"Restaurant, Pool",238.53,8,1991,2014,32.1,True,True,False,False
149,Hotel 149,Indianapolis,Design Hotels,1.2,122,"Pool, Gym, Free WiFi",195.62,3,2022,1984,10.13,False,True,False,False
150,Hotel 150,Philadelphia,Tribute Portfolio,2.1,192,"Gym, Free Parking",303.89,5,2010,1988,37.72,False,True,True,False
151,Hotel 151,Las Vegas,Marriott Hotels,4.6,98,"Pool, Gym, Free WiFi",430.11,1,2006,2008,27.74,True,False,True,True
152,Hotel 152,San Antonio,Moxy Hotels,2.0,170,"Restaurant, Pool",211.88,10,2011,1985,11.0,True,False,False,True
153,Hotel 153,Memphis,Sheraton,1.6,137,"Gym, Free Parking",476.95,7,1989,2004,15.3,False,True,False,True
154,Hotel 154,Chicago,SpringHill Suites,3.0,245,"Gym, Free Parking",449.33,10,1982,2010,37.68,False,False,False,False
155,Hotel 155,Sacramento,W Hotels,4.9,189,"Pool, Gym, Free WiFi",164.71,1,2006,2001,24.65,True,True,True,False
156,Hotel 156,Jacksonville,SpringHill Suites,2.0,236,"Restaurant, Pool",414.51,9,2014,1981,11.59,False,True,True,True
157,Hotel 157,Atlanta,Luxury,3.7,299,"Restaurant, Pool",329.83,8,2010,1984,48.4,False,True,False,True
158,Hotel 158,Fort Worth,Autograph Collection Hotels,4.0,86,"Gym, Free Parking",326.63,7,1994,2006,36.04,False,True,True,False
159,Hotel 159,Fort Worth,The Luxury Collection,2.0,110,"Restaurant, Pool",256.42,10,1995,2004,47.9,False,False,False,False
160,Hotel 160,Los Angeles,TownePlace Suites,3.9,278,"Pool, Gym, Free WiFi",300.46,7,1992,1987,21.93,False,False,True,True
161,Hotel 161,Oklahoma City,Residence Inn,2.5,220,"Spa, Free Breakfast",258.87,5,2014,1980,24.28,False,False,True,False
162,Hotel 162,Oklahoma City,Marriott Hotels,3.5,173,"Business Center, Free WiFi",315.89,5,1990,1999,45.0,False,False,True,True
163,Hotel 163,Nashville,AC Hotels,3.5,247,"Restaurant, Pool",351.18,5,2000,2002,26.73,True,True,True,True
164,Hotel 164,New York,Design Hotels,3.1,88,"Gym, Free Parking",369.72,1,1990,2011,35.66,True,False,True,False
165,Hotel 165,Atlanta,Fairfield by Marriott,1.4,233,"Restaurant, Pool",312.99,8,2009,1990,13.36,False,True,False,False
166,Hotel 166,Louisville,Longer Stays,4.3,112,"Spa, Free Breakfast",388.57,1,2014,2018,22.89,False,True,False,False
167,Hotel 167,Houston,Element by Westin,2.3,95,"Pool, Gym, Free WiFi",156.51,4,2001,2003,7.05,False,False,True,True
168,Hotel 168,Sacramento,TownePlace Suites,1.7,137,"Pool, Gym, Free WiFi",184.79,9,2017,1990,11.09,True,True,False,False
169,Hotel 169,Mesa,St. Regis,1.2,60,"Gym, Free Parking",427.49,9,2010,2008,1.05,True,False,False,False
170,Hotel 170,Sacramento,W Hotels,3.4,111,"Restaurant, Pool",229.01,5,1993,2005,2.92,False,False,True,True
171,Hotel 171,Seattle,Marriott Executive Apartments,3.7,126,"Pool, Gym, Free WiFi",109.16,4,2003,1995,48.89,True,False,False,True
172,Hotel 172,Denver,TownePlace Suites,1.1,275,"Gym, Free Parking",161.52,3,2011,2014,12.88,False,False,True,False
173,Hotel 173,Las Vegas,Residence Inn,3.0,202,"Spa, Free Breakfast",189.45,3,2015,1999,33.5,False,False,False,True
174,Hotel 174,Nashville,Marriott Vacation Club,1.9,248,"Gym, Free Parking",482.93,5,2011,1982,42.12,False,True,False,True
175,Hotel 175,Houston,TownePlace Suites,3.6,101,"Business Center, Free WiFi",329.22,10,1994,1980,27.98,False,False,False,True
176,Hotel 176,Atlanta,Delta Hotels,1.7,53,"Gym, Free Parking",473.09,1,2022,1980,8.5,False,False,False,False
177,Hotel 177,Kansas City,The Ritz-Carlton,3.8,108,"Gym, Free Parking",330.07,5,2014,1996,36.68,False,True,False,False
178,Hotel 178,Sacramento,SpringHill Suites,2.5,121,"Pool, Gym, Free WiFi",291.74,6,1982,1981,30.41,False,False,False,True
179,Hotel 179,Austin,Autograph Collection Hotels,4.7,197,"Pool, Gym, Free WiFi",225.49,7,1995,2008,36.83,True,False,False,True
180,Hotel 180,Chicago,Le Méridien,1.6,142,"Business Center, Free WiFi",342.55,9,1984,1999,38.72,False,True,True,True
181,Hotel 181,Sacramento,AC Hotels,2.4,112,"Gym, Free Parking",155.68,3,2000,1985,48.8,True,True,True,False
182,Hotel 182,Las Vegas,Marriott Vacation Club,1.5,103,"Spa, Free Breakfast",459.3,2,1989,1987,29.1,False,False,True,True
183,Hotel 183,Louisville,Residence Inn,4.7,166,"Business Center, Free WiFi",431.73,3,1998,2008,17.74,False,True,True,True
184,Hotel 184,Austin,Marriott Executive Apartments,4.5,292,"Pool, Gym, Free WiFi",227.01,9,2004,2012,32.77,True,False,False,False
185,Hotel 185,Charlotte,Sheraton,2.0,286,"Spa, Free Breakfast",481.12,7,1983,1982,4.35,True,True,False,True
186,Hotel 186,Columbus,TownePlace Suites,3.6,159,"Restaurant, Pool",430.08,9,2008,2014,44.97,False,False,False,False
187,Hotel 187,Indianapolis,AC Hotels,4.3,123,"Pool, Gym, Free WiFi",366.52,2,1998,1984,6.85,True,False,True,False
188,Hotel 188,Nashville,Le Méridien,3.2,156,"Business Center, Free WiFi",148.7,5,2022,2006,17.06,False,False,True,False
189,Hotel 189,Los Angeles,Sheraton,3.1,275,"Business Center, Free WiFi",291.29,4,1981,1991,40.97,False,True,True,True
190,Hotel 190,Seattle,Marriott Vacation Club,2.0,106,"Business Center, Free WiFi",302.44,2,1989,1999,30.27,True,False,False,True
191,Hotel 191,Detroit,W Hotels,1.4,267,"Restaurant, Pool",193.02,9,2022,1999,20.29,True,True,True,False
192,Hotel 192,Louisville,St. Regis,4.6,218,"Gym, Free Parking",131.99,9,2004,1988,24.2,True,False,False,True
193,Hotel 193,San Antonio,TownePlace Suites,4.6,290,"Spa, Free Breakfast",410.69,6,1999,2018,42.87,True,False,True,False
194,Hotel 194,Virginia Beach,Courtyard by Marriott,3.5,299,"Restaurant, Pool",148.81,6,1998,1983,17.66,False,False,False,True
195,Hotel 195,Virginia Beach,Marriott Vacation Club,2.4,52,"Pool, Gym, Free WiFi",337.72,8,2002,1998,43.61,True,False,True,False
196,Hotel 196,Kansas City,Marriott Vacation Club,2.4,169,"Pool, Gym, Free WiFi",474.58,6,2003,2017,5.32,True,False,False,False
197,Hotel 197,Kansas City,Gaylord Hotels,3.9,55,"Business Center, Free WiFi",450.44,1,1990,2006,39.06,True,True,True,True
198,Hotel 198,San Francisco,Autograph Collection Hotels,4.6,54,"Pool, Gym, Free WiFi",211.1,4,2013,2022,42.53,True,True,True,True
199,Hotel 199,San Jose,Residence Inn,4.5,54,"Restaurant, Pool",440.58,7,2007,1992,9.91,True,True,False,True
200,Hotel 200,Phoenix,TownePlace Suites,4.1,103,"Spa, Free Breakfast",100.13,2,1984,1992,22.09,False,False,False,True
201,Hotel 201,Milwaukee,TownePlace Suites,3.6,96,"Business Center, Free WiFi",107.08,9,1984,2001,9.11,False,False,True,False
202,Hotel 202,Oklahoma City,TownePlace Suites,1.3,264,"Gym, Free Parking",341.02,8,2000,2007,35.62,True,True,False,False
203,Hotel 203,Mesa,Westin,1.6,226,"Spa, Free Breakfast",245.92,8,1991,2001,27.23,True,False,True,True
204,Hotel 204,El Paso,St. Regis,4.6,58,"Pool, Gym, Free WiFi",254.58,7,1983,2022,32.13,False,False,False,True
205,Hotel 205,Jacksonville,Longer Stays,3.4,148,"Spa, Free Breakfast",325.78,4,2021,1998,10.63,True,False,True,False
206,Hotel 206,El Paso,Gaylord Hotels,1.0,69,"Restaurant, Pool",176.71,2,1999,1987,11.38,False,True,False,True
207,Hotel 207,Fort Worth,Le Méridien,1.4,171,"Pool, Gym, Free WiFi",184.7,3,2017,1987,3.03,False,True,True,True
208,Hotel 208,Chicago,Sheraton,3.7,290,"Business Center, Free WiFi",293.84,6,2004,2021,16.78,True,True,True,True
